name,state,pop2000,pop2010,fed.spend,poverty,homeownership,multiunit,income,med.income
Dubuque County,Iowa,89143,93653,6.74630818,9.1,74.7,21.9,25045,48573
Emmet County,Iowa,11027,10302,10.47447098,11.9,76.6,10.3,24371,42286
Fayette County,Iowa,22008,20880,9.258764368,13.4,78.5,10.3,21566,41055
Floyd County,Iowa,16900,16303,10.01496657,14,74.5,13.4,21416,39467
Franklin County,Iowa,10704,10680,9.680805243,10.6,74.1,11.8,22507,44863
Fremont County,Iowa,8010,7441,15.24109663,8.7,77.9,5.5,23612,47225
Greene County,Iowa,10366,9336,10.406491,8,76.2,7.6,23947,43286
Grundy County,Iowa,12369,12453,7.279611339,7.5,80.7,8.9,26916,56184
Guthrie County,Iowa,11353,10954,8.772503195,7.2,79.1,8,26590,50090
Hamilton County,Iowa,16438,15673,9.603011549,9.7,76.7,14.7,24765,46188
Hancock County,Iowa,12100,11341,8.415659995,11,82.6,9.4,22713,47318
Hardin County,Iowa,18812,17534,9.630147143,9.9,73.8,13.8,24154,44694
Harrison County,Iowa,15666,14928,10.18348071,10.1,79.4,9.6,24221,51303
Henry County,Iowa,20336,20145,6.867262348,14,73.8,14.7,23056,41983
Howard County,Iowa,9932,9566,9.949613213,11.2,79.5,7,22417,46068
Humboldt County,Iowa,10381,9815,9.085685176,9.6,76,13.1,24568,45282
Ida County,Iowa,7837,7089,8.702355762,10.5,75.6,10.5,23841,44521
Iowa County,Iowa,15671,16355,7.077468664,9,77.9,11.3,26721,56053
Jackson County,Iowa,20296,19848,8.321644498,9.9,78.4,11.5,23008,42489
Jasper County,Iowa,37213,36842,6.660849031,12.3,73.4,16.4,23160,46396
Jefferson County,Iowa,16181,16843,6.921035445,14.3,72.4,16,23853,44167
Johnson County,Iowa,111006,130882,8.588232148,18.2,60.3,35.8,28008,51380
Jones County,Iowa,20221,20638,6.587460025,8.2,79.2,10.3,22873,47955
Keokuk County,Iowa,11400,10511,10.84834935,10.3,80.1,6.8,22088,42698
Kossuth County,Iowa,17163,15543,10.75075597,8.6,82.2,9.9,27415,48277
Lee County,Iowa,38052,35862,8.936590263,13.5,74.1,15.7,21324,42444
Linn County,Iowa,191701,211226,10.71650744,9.6,72.9,24.4,28239,53674
Louisa County,Iowa,12183,11387,8.412224466,12.4,80.1,6.4,20367,50457
Lucas County,Iowa,9422,8898,10.49674084,16.3,75.5,11.2,19967,43005
Lyon County,Iowa,11763,11581,6.454364908,5.7,81.9,5.5,21613,49506
Madison County,Iowa,14019,15679,6.478346833,8.8,81.5,10.4,25711,53183
Mahaska County,Iowa,22335,22381,8.133729503,14.3,75.1,12.6,21568,45025
Marion County,Iowa,32052,33309,7.765919121,8,76.2,14,24613,53370
Marshall County,Iowa,39311,40648,8.780825625,12.7,75,16.8,22407,45232
Mills County,Iowa,14547,15059,9.401487483,10,82.5,8.5,25400,59481
Mitchell County,Iowa,10874,10776,9.084632517,5.9,83.2,6.8,22820,48506
Monona County,Iowa,10020,9243,17.82895164,11.5,71.5,10.8,22774,41398
Monroe County,Iowa,8016,7970,10.43563363,13.4,78.3,7.3,21228,43245
Montgomery County,Iowa,11771,10740,11.07886406,14,74.4,12.7,21301,38624
Muscatine County,Iowa,41722,42745,6.926798456,13.7,77.7,14.4,24138,51025
O,Iowa,15102,14398,9.14210307,11,76.9,11.7,24771,44018
Osceola County,Iowa,7003,6462,8.842154132,8.5,75.6,5.6,23063,43889
Page County,Iowa,16976,15932,9.899510419,11.7,74,13.3,21204,40778
Palo Alto County,Iowa,10147,9421,11.07674345,10.6,74.6,14.5,23071,42800
Plymouth County,Iowa,24849,24986,6.565556712,4.8,80.8,10.8,28060,56379
Pocahontas County,Iowa,8662,7310,11.55937073,9.9,80.3,7.4,23385,42105
Polk County,Iowa,374601,430640,11.85417286,10.3,70.8,24.5,29246,56094
Pottawattamie County,Iowa,87704,93158,8.15704502,12.1,71.3,19.5,23782,48728
Poweshiek County,Iowa,18815,18914,8.655863382,11.2,78.2,15.5,25218,50998
Ringgold County,Iowa,5469,5131,13.39641395,12.7,79.2,6.7,21858,42336
Sac County,Iowa,11529,10350,9.491980676,10.2,80.8,8.7,23837,42986
Scott County,Iowa,158668,165224,7.939246114,12.9,70.4,23.8,27408,49964
Shelby County,Iowa,13173,12167,10.19339196,10,77.8,11.6,22389,44085
Sioux County,Iowa,31589,33704,5.916389746,6.4,81.3,10.2,21333,51557
Story County,Iowa,79981,89542,8.2119564,18.6,54.8,38.1,25450,48248
Tama County,Iowa,18103,17767,8.913266168,10.6,77.9,8.7,23041,46288
Taylor County,Iowa,6958,6317,12.48757322,11.4,80.5,6.2,21335,40300
Union County,Iowa,12309,12534,11.30078187,17.8,71.9,14.4,20435,40879
Van Buren County,Iowa,7809,7570,9.422853369,16.7,78.3,7.4,20209,40073
Wapello County,Iowa,36051,35625,10.61591579,16.2,76.5,13.9,22376,40093
Warren County,Iowa,40671,46225,5.501957815,7,79.1,14.2,28798,62034
Washington County,Iowa,20670,21704,7.168955031,10.7,77,12.7,23979,50710
Wayne County,Iowa,6730,6403,14.45541153,12.7,79.2,7.7,18795,35425
Webster County,Iowa,40235,38013,10.28353458,14.2,68.8,18.8,22653,40806
Winnebago County,Iowa,11723,10866,8.938339775,10,74.7,17.3,22684,41871
Winneshiek County,Iowa,21310,21056,7.30756079,8.4,75.5,13.5,23608,50693
Woodbury County,Iowa,103877,102172,7.695650472,14,68.6,18.8,22069,44343
Worth County,Iowa,7909,7598,9.416951829,11.7,80.1,9.5,27240,49673
Wright County,Iowa,14334,13229,10.49656059,11.2,74.4,14,23068,44035
Allen County,Kansas,14385,13371,9.024081968,12.7,78,7.2,20195,41546
Anderson County,Kansas,8110,8102,7.375833128,12.4,83.9,3.6,20558,40428
Atchison County,Kansas,16774,16924,10.16562278,13.1,66.4,14.4,20995,44175
Barber County,Kansas,5307,4861,9.216827813,13.1,71.2,8.9,23542,38875
Barton County,Kansas,28205,27674,7.0122859,12.2,74.1,8.1,23688,43763
Bourbon County,Kansas,15379,15173,8.34904106,15.5,74.7,9,18596,38045
Brown County,Kansas,10724,9984,10.82411859,19.6,70,12.6,19555,37525
Butler County,Kansas,59482,65880,5.046296296,7.3,77.8,8.6,26436,56290
Chase County,Kansas,3030,2790,9.014695341,10.9,81.7,3.6,21890,40372
Chautauqua County,Kansas,4359,3669,11.74352685,10.1,78.6,2.8,21613,35848
Cherokee County,Kansas,22605,21603,9.653150025,17.5,79,5.4,20075,38154
Cheyenne County,Kansas,3165,2726,16.6647102,13.2,75.3,4.5,19460,31186
Clark County,Kansas,2390,2215,10.66681716,12.9,73.6,4.8,24605,37931
Clay County,Kansas,8822,8535,9.051669596,9,73.4,12,24858,42490
Cloud County,Kansas,10268,9533,10.32361271,17.4,78,7.8,18690,35838
Coffey County,Kansas,8865,8601,7.71282409,11.5,77,5.4,23744,47171
Comanche County,Kansas,1967,1891,9.509783184,8.9,82.9,6.1,22974,34808
Cowley County,Kansas,36291,36311,8.164853626,15,72.2,10.8,20720,40749
Crawford County,Kansas,38242,39134,9.687816221,17.7,64.9,13.5,19753,35286
Decatur County,Kansas,3472,2961,13.71732523,16.2,72.7,6.7,21966,35383
Dickinson County,Kansas,19344,19754,9.402197023,11.1,73.9,8.6,22009,46457
Doniphan County,Kansas,8249,7945,9.078036501,12.6,75.2,6.9,21704,43410
Douglas County,Kansas,99962,110826,6.397118005,19.1,53.5,32,24851,45831
Edwards County,Kansas,3449,3037,13.80243662,17.1,75.2,6.5,24899,39226
Elk County,Kansas,3261,2882,10.72068008,18.4,81,7.8,20958,33455
Ellis County,Kansas,27507,28452,6.576409391,14,63,25.2,24093,44543
Ellsworth County,Kansas,6525,6497,7.944128059,7.9,78.4,6.5,21704,42200
Finney County,Kansas,40523,36776,4.918397868,14.1,71.8,17.4,20976,50454
Ford County,Kansas,32458,33848,5.624940912,17.2,68.3,18.6,19348,46621
Franklin County,Kansas,24784,25992,6.43732687,8.4,72.1,9.8,22294,49459
Geary County,Kansas,27947,34362,80.47549619,12,49.9,27.8,20709,45559
Gove County,Kansas,3068,2695,17.45343228,9.1,81.2,4.7,22775,41295
Graham County,Kansas,2946,2597,15.21986908,10.7,80.5,5.4,25026,43980
Grant County,Kansas,7909,7829,6.202835611,11.8,73.1,5.3,25188,55514
Gray County,Kansas,5904,6006,8.688644689,6.9,75.4,3.8,22606,52824
Greeley County,Kansas,1534,1247,29.12109062,6.5,73.8,0.8,28698,55972
Greenwood County,Kansas,7673,6689,10.75960532,16.9,73.5,3.1,21325,37180
Hamilton County,Kansas,2670,2690,15.95687732,7.7,74.2,9.1,20190,36297
Harper County,Kansas,6536,6034,11.98922771,12.2,70.7,8,22467,38168
Harvey County,Kansas,32869,34684,6.251124438,8.6,74,13.2,22890,46604
Haskell County,Kansas,4307,4256,9.11231203,12,76,5.6,21966,45859
Hodgeman County,Kansas,2085,1916,15.44832985,8,80.8,5.9,20859,41127
Jackson County,Kansas,12657,13462,6.561580746,10.1,78.2,6.4,23306,51759
Jefferson County,Kansas,18426,19126,5.590295932,6.5,85.2,4.3,25580,56886
Jewell County,Kansas,3791,3077,14.32336692,13.7,76.4,4.8,22443,37759
Johnson County,Kansas,451086,544179,4.68954333,5.5,71.9,22.7,37882,73733
Kearny County,Kansas,4531,3977,11.02338446,13.5,74.1,5.1,20888,46435
Kingman County,Kansas,8673,7858,9.888012217,10.4,78.9,2.7,22861,44510
Kiowa County,Kansas,3278,2553,17.21386604,9.4,73.2,7.5,19430,37292
Labette County,Kansas,22835,21607,9.746517332,15.5,71.5,9.7,21021,39049
Lane County,Kansas,2155,1750,18.40228571,13.9,73.4,4.8,25261,42311
Leavenworth County,Kansas,68691,76227,26.59379223,8.1,69.4,13.2,25925,61107
Lincoln County,Kansas,3578,3241,9.959580376,10.2,81.1,4.8,23084,41071
Linn County,Kansas,9570,9656,15.49026512,10.3,84.9,3.1,22472,44379
Logan County,Kansas,3046,2756,14.76777939,11.8,76.3,6.9,22856,39375
Lyon County,Kansas,35935,33690,6.143098842,22.2,59.5,23.3,18245,36921
McPherson County,Kansas,29554,29180,8.681871145,7.6,76.2,10.9,26467,53026
Marion County,Kansas,13361,12660,7.672985782,9.8,83.7,8.4,21166,45713
Marshall County,Kansas,10965,10117,10.46792527,10.4,76.2,7,21295,43125
Meade County,Kansas,4631,4575,8.651147541,11.5,78.2,4.6,23909,46658
Miami County,Kansas,28351,32787,4.72571446,8,79.9,8.9,26218,60539
Mitchell County,Kansas,6932,6373,10.23442649,8.3,75.9,7.2,23350,44247
Montgomery County,Kansas,36252,35471,9.20535085,14.8,71.8,12.1,21037,40603
Morris County,Kansas,6104,5923,8.97940233,10.9,77.6,7.4,23967,42083
Morton County,Kansas,3496,3233,12.72100217,6.5,71.3,6.2,22862,42273
Nemaha County,Kansas,10717,10178,8.380231873,9.3,79.1,9.9,22484,46134
Neosho County,Kansas,16997,16512,7.753936531,17,77.2,7.5,18683,36702
Ness County,Kansas,3454,3107,12.92693917,7.3,82.6,4.3,27622,47639
Norton County,Kansas,5953,5671,11.20507847,9.9,68,10,19080,32016
Osage County,Kansas,16712,16295,6.911261123,11.5,79,7,22697,48594
Osborne County,Kansas,4452,3858,13.34733022,15.5,78.3,6.4,22536,34797
Ottawa County,Kansas,6163,6091,7.442620259,10.2,81.8,6.9,22665,50814
Pawnee County,Kansas,7233,6973,8.418041015,10.7,70.9,5.3,17927,40048
Phillips County,Kansas,6001,5642,10.40393477,10,79.8,4.3,21870,44381
Pottawatomie County,Kansas,18209,21604,4.926217367,7.1,81,7.1,25157,53430
Pratt County,Kansas,9647,9656,8.636599006,10,70.4,7.9,23585,43583
Rawlins County,Kansas,2966,2519,16.68797142,12.3,74.5,5.1,22895,39797
Reno County,Kansas,64790,64511,7.686177551,13.1,71.6,13,22149,41431
Republic County,Kansas,5835,4980,10.99718876,11.4,81.1,5.5,24731,38286
Rice County,Kansas,10761,10083,8.305067936,13.7,75.5,6,19316,43164
Riley County,Kansas,62843,71115,6.118779442,24.7,43.7,38,19999,39257
Rooks County,Kansas,5685,5181,10.54468249,16.3,77.6,4.9,23435,37861
Rush County,Kansas,3551,3307,12.01270033,12.6,79.7,3.3,23608,39435
Russell County,Kansas,7370,6970,9.795121951,16.9,75.3,11.2,23243,36135
Saline County,Kansas,53597,55606,7.104143438,12.6,67.8,17.4,23669,45162
Scott County,Kansas,5120,4936,10.48318476,8.6,81.8,4.3,28872,58341
Sedgwick County,Kansas,452869,498365,10.59504379,13.9,66.9,21.2,25297,47848
Seward County,Kansas,22510,22952,4.50426978,16.7,64.4,15.5,18083,41373
Shawnee County,Kansas,169871,177934,17.18596221,14.9,66.8,21.4,25705,47464
Sheridan County,Kansas,2813,2556,15.27230047,15.4,77.7,4.2,24933,46739
Sherman County,Kansas,6760,6010,13.67287854,17.9,71.9,8.9,22651,41570
Smith County,Kansas,4536,3853,13.31767454,12,81.1,4.2,23644,39836
Stafford County,Kansas,4789,4437,12.9459094,14,80.9,5,23171,39375
Stanton County,Kansas,2406,2235,19.03758389,6,74.8,2.9,19196,49612
Stevens County,Kansas,5463,5724,9.90408805,12.1,68.9,6.1,21633,50517
Sumner County,Kansas,25946,24132,8.952303995,10.7,77.4,6.8,23114,49582
Thomas County,Kansas,8180,7900,10.98556962,8.7,65.1,18.3,23883,47033
Trego County,Kansas,3319,3001,11.5044985,9.1,82.3,8.1,22095,39655
Wabaunsee County,Kansas,6885,7053,11.03246845,8.7,83.2,4.1,23072,52133
Wallace County,Kansas,1749,1485,25.23569024,15.3,83.4,2.1,23269,43953
Washington County,Kansas,6483,5799,11.36851181,10.6,78.8,5.8,20577,39698
Wichita County,Kansas,2531,2234,18.61056401,10.4,80,6.2,20375,44318
Wilson County,Kansas,10332,9409,9.340525029,15,76.2,8.6,18708,39301
Woodson County,Kansas,3788,3309,10.44726503,21.4,73.8,6.1,23986,30385
Wyandotte County,Kansas,157882,157505,9.606291864,21.3,63.2,19.4,18827,38503
Adair County,Kentucky,17244,18656,10.76372213,21.3,74.8,6.1,15790,29834
Allen County,Kentucky,17800,19956,9.030166366,20.3,74.8,6.4,16897,35247
Anderson County,Kentucky,19111,21421,5.370664301,11.4,76.3,10.7,24516,55506
Ballard County,Kentucky,8286,8249,11.90798885,13,83.3,5.9,23001,41228
Barren County,Kentucky,38033,42173,9.310886112,18.7,70.3,13.1,20067,38374
Bath County,Kentucky,11085,11591,10.10818739,29.6,80.6,6.8,15487,30458
Bell County,Kentucky,30060,28691,9.264438326,29.4,68.6,14,14627,24724
Boone County,Kentucky,85991,118811,5.410509128,7.5,76.4,22.2,28520,66549
Bourbon County,Kentucky,19360,19985,8.095271454,16.1,61.4,16.1,21355,40849
Boyd County,Kentucky,49752,49542,12.42900973,18.1,69.2,13.9,22064,38802
Boyle County,Kentucky,27697,28432,9.062992403,18.6,69,18.9,22534,40720
Bracken County,Kentucky,8279,8488,9.699929312,19.7,78.6,6.3,18671,38481
Breathitt County,Kentucky,16100,13878,29.35754431,33.2,71.7,5.4,16442,19906
Breckinridge County,Kentucky,18648,20059,9.4384067,19.2,79.4,5.9,17757,37395
Bullitt County,Kentucky,61236,74319,4.666720489,9.5,81.3,10,22791,51526
Butler County,Kentucky,13010,12690,9.90141844,19.1,79.4,6.8,17236,33703
Caldwell County,Kentucky,13060,12984,12.78658349,18.6,76.7,7,19498,35289
Calloway County,Kentucky,34177,37191,7.56629292,17,68.4,20.6,20951,39194
Campbell County,Kentucky,88616,90336,7.514767092,11.3,72.3,28.8,27096,51482
Carlisle County,Kentucky,5351,5104,11.03428683,15.7,84,4.3,17260,33909
Carroll County,Kentucky,10155,10811,9.462676903,21.8,65.3,14.8,21845,43440
Carter County,Kentucky,26889,27720,10.78261183,20.6,77.9,5.5,18147,32424
Casey County,Kentucky,15447,15955,10.4700094,28.2,85.1,1.9,14252,26592
Christian County,Kentucky,72265,73955,62.78766818,20,56.5,21.7,18476,37061
Clark County,Kentucky,33144,35613,7.591553646,16,65.2,20.5,23966,46575
Clay County,Kentucky,24556,21730,17.45678785,34.4,78.7,5.2,12300,20175
Clinton County,Kentucky,9634,10272,15.97167056,29.1,75,8.4,14802,23788
Crittenden County,Kentucky,9384,9315,9.796135266,17,78.9,4.8,19463,34623
Cumberland County,Kentucky,7147,6856,14.94486581,26.6,78.6,6.9,15025,28135
Daviess County,Kentucky,91545,96656,8.361343321,14.6,69.6,18.9,22064,42821
Edmonson County,Kentucky,11644,12161,9.467642464,18.8,75.2,3.8,18959,35808
Elliott County,Kentucky,6748,7852,11.7030056,36.5,79.9,6.1,13072,22097
Estill County,Kentucky,15307,14672,13.59146674,25.1,74.3,8.4,15725,28324
Fayette County,Kentucky,260512,295803,10.28951025,17.4,56.9,33.5,28345,47469
Fleming County,Kentucky,13792,14348,10.09966546,20.1,77.9,4.4,17629,31236
Floyd County,Kentucky,42441,39451,14.39367823,28.1,72,8.8,15883,27907
Franklin County,Kentucky,47687,49285,58.07225322,13.9,64.7,25.5,26857,47976
Fulton County,Kentucky,7752,6813,17.6179363,27.6,64.1,18.3,16908,31965
Gallatin County,Kentucky,7870,8589,8.038304808,23.5,73.4,11.3,17810,41310
Garrard County,Kentucky,14792,16912,7.018803217,17.5,77,7.8,18735,37095
Grant County,Kentucky,22384,24662,7.218392669,17.4,70.4,15.7,20257,42475
Graves County,Kentucky,37028,37121,9.718084103,19.9,76.3,9.2,19976,35277
Grayson County,Kentucky,24053,25746,10.14918822,19.5,76.6,7.2,17443,33965
Green County,Kentucky,11518,11258,9.27358323,18,74.5,5,21281,36575
Greenup County,Kentucky,36891,36910,9.428962341,15,80,6.8,21533,42377
Hancock County,Kentucky,8392,8565,7.186339755,15.5,82.8,8.3,19952,44892
Hardin County,Kentucky,94174,105543,21.1608065,13,65.9,19.9,22997,47540
Harlan County,Kentucky,33202,29278,20.99989753,30.7,71.1,8.9,15224,26582
Harrison County,Kentucky,17983,18846,8.836623156,20.4,68.2,15.4,20037,40582
Hart County,Kentucky,17445,18199,8.880817627,23.5,75.2,8.7,16726,30969
Henderson County,Kentucky,44829,46250,7.567394595,14.4,67.6,18.5,22192,40438
Henry County,Kentucky,15060,15416,8.80928905,18.5,73.3,7.2,21090,43612
Hickman County,Kentucky,5262,4902,10.79579763,16.1,80.5,5.2,19953,31836
Hopkins County,Kentucky,46519,46920,10.78959932,18.2,72.2,9.6,21347,39312
Jackson County,Kentucky,13495,13494,13.49940714,33.1,76,6.5,13935,21928
Jefferson County,Kentucky,693604,741096,14.06062372,15.5,64.7,29,26473,45352
Jessamine County,Kentucky,39041,48586,5.521117194,14.8,66,14.9,24097,47494
Johnson County,Kentucky,23445,23356,13.06623566,22.1,71.9,10.6,18486,30820
Kenton County,Kentucky,151464,159720,7.768300776,11.4,69.2,26.6,27205,53213
Knott County,Kentucky,17649,16346,13.98231983,24.1,74.9,3,16110,29451
Knox County,Kentucky,31795,31883,13.219145,36.5,66.7,10.8,14101,21493
Larue County,Kentucky,13373,14193,8.812442753,15.5,77.5,9,18474,38891
Laurel County,Kentucky,52715,58849,8.239613247,20.1,74.2,9.9,19604,36787
Lawrence County,Kentucky,15569,15860,12.32257251,24.4,70.7,5.5,15903,28865
Lee County,Kentucky,7916,7887,14.32192215,31.6,74.5,8.4,12983,25129
Leslie County,Kentucky,12401,11310,16.16534041,24.6,73.3,3,14753,26857
Letcher County,Kentucky,25277,24519,12.704678,26.8,75.4,4.4,17393,31283
Lewis County,Kentucky,14092,13870,10.80677722,27.5,84.3,4.7,14915,28376
Lincoln County,Kentucky,23361,24742,11.38865088,21.9,76,5.9,16985,32314
Livingston County,Kentucky,9804,9519,14.42725076,11.2,81.6,2.1,20800,39075
Logan County,Kentucky,26573,26835,10.33489845,18.3,74.2,8.8,19443,34647
Lyon County,Kentucky,8080,8314,10.1360356,14,81,10.1,19036,42079
McCracken County,Kentucky,65514,65565,27.21749409,15.3,69.2,17.9,24709,41630
McCreary County,Kentucky,17080,18306,13.36823992,35.2,76.3,8.3,12197,22643
McLean County,Kentucky,9938,9531,9.074388836,16,76.1,5.7,21071,39115
Madison County,Kentucky,70872,82916,11.11275267,18.9,62,27.6,21536,41894
Magoffin County,Kentucky,13332,13333,14.92304808,29.8,78.2,3.9,13849,22779
Marion County,Kentucky,18212,19820,8.939959637,17.8,79.8,6.5,18445,37488
Marshall County,Kentucky,30125,31448,8.350069957,11.6,81.9,7.2,23056,43326
Martin County,Kentucky,12578,12929,14.51194988,33,71.5,8.2,14785,25173
Mason County,Kentucky,16800,17490,9.098284734,21.1,70.9,16.1,21717,40523
Meade County,Kentucky,26349,28602,5.49986015,13.4,71.8,19.6,18823,43800
Menifee County,Kentucky,6556,6306,19.07548367,20.4,82.9,3.6,15418,29740
Mercer County,Kentucky,20817,21331,7.681637054,12.4,74.8,12.8,23645,47955
Metcalfe County,Kentucky,10037,10099,10.96494702,18.7,79.1,4.1,16835,34732
Monroe County,Kentucky,11756,10963,16.90531789,27.1,76.1,6.9,15534,28439
Montgomery County,Kentucky,22554,26499,7.322880109,21.1,68.7,13.9,20004,36034
Morgan County,Kentucky,13948,13923,11.30647131,23.6,75.1,7.2,17705,30229
Muhlenberg County,Kentucky,31839,31499,12.66738627,20.6,79.4,6.9,18538,36750
Nelson County,Kentucky,37477,43437,6.587770794,14.2,76.9,10.1,21763,44783
Nicholas County,Kentucky,6813,7135,11.33805186,18.3,76.5,9.5,18452,40259
Ohio County,Kentucky,22916,23842,8.421021726,19,77.7,6.9,18258,36050
Oldham County,Kentucky,46178,60316,2.698653757,7.4,85.1,7.9,32702,79417
Owen County,Kentucky,10547,10841,6.905912739,12,75.1,7.3,21754,46238
Owsley County,Kentucky,4858,4755,21.49884332,41.5,79.2,5.3,10767,19351
Pendleton County,Kentucky,14390,14877,6.580224508,18.6,76.4,8.2,19523,44670
Perry County,Kentucky,29390,28712,14.51748398,27.9,72.5,9.8,19049,29547
Pike County,Kentucky,68736,65024,12.21588952,22.1,75.3,8.5,18973,32563
Powell County,Kentucky,13237,12613,9.943153889,26.3,69.9,8.4,15796,31815
Pulaski County,Kentucky,56217,63063,10.45272188,21.1,73.7,11.6,19540,32771
Robertson County,Kentucky,2266,2282,9.160385627,25.1,73.1,7.4,15374,27254
Rockcastle County,Kentucky,16582,17056,11.63537758,28.1,78.7,4.5,15621,26946
Rowan County,Kentucky,22094,23333,9.336433378,29.8,70.4,11.4,17435,31604
Russell County,Kentucky,16315,17565,16.53606604,24.2,78.1,5.4,17868,29980
Scott County,Kentucky,33061,47173,4.515761135,13.4,68.9,15.6,26838,58028
Shelby County,Kentucky,33337,42074,6.525431383,11.4,73.5,14.5,27593,55296
Simpson County,Kentucky,16405,17327,8.985917932,14.5,70.2,11.8,20426,41323
Spencer County,Kentucky,11766,17061,4.370435496,7,88.1,5.7,25589,59326
Taylor County,Kentucky,22927,24512,10.23747552,22.8,68.8,14.6,18014,35378
Todd County,Kentucky,11971,12460,9.69847512,21.4,72.3,4.9,17460,36989
Trigg County,Kentucky,12597,14339,12.12985564,13,78.4,6.2,23387,41825
Trimble County,Kentucky,8125,8809,6.398342604,16.9,78.9,7.5,21161,47798
Union County,Kentucky,15637,15007,23.25641367,18.5,78,6.4,18811,39515
Warren County,Kentucky,92522,113792,6.795029528,18.5,62,25,23206,43954
Washington County,Kentucky,10916,11717,9.360501835,13.2,82.9,5.2,20873,43090
Wayne County,Kentucky,19923,20813,12.57997405,26.7,73.2,9.8,16109,25993
Webster County,Kentucky,14120,13621,9.500844285,16,80.3,5.6,18879,39635
Whitley County,Kentucky,35865,35637,15.62482813,28.9,70.2,9.3,15258,28122
Wolfe County,Kentucky,7065,7355,16.66063902,42.2,75.9,6.3,11214,20910
Woodford County,Kentucky,23208,24939,5.613336541,11.3,72.8,12.1,28501,56537
Acadia Parish,Louisiana,58861,61773,7.444660288,20.1,69.8,7.1,18116,37261
Allen Parish,Louisiana,25440,25764,8.324755473,17.4,72,8.3,17108,36926
Ascension Parish,Louisiana,76627,107215,4.025528144,11.7,80.8,5.7,26888,63716
Assumption Parish,Louisiana,23388,23421,7.203535289,17.7,84.2,3,20348,45235
Avoyelles Parish,Louisiana,41481,42073,9.539514653,23.2,69.4,9.4,16944,31412
Beauregard Parish,Louisiana,32986,35654,7.26241095,13.2,77.5,6.9,21543,45202
Bienville Parish,Louisiana,15752,14353,10.18922873,26.6,74.2,8.1,18873,31870
Bossier Parish,Louisiana,98310,116979,10.24513802,13.4,67.4,17.2,25630,51020
Caddo Parish,Louisiana,252161,254969,9.707066349,20.4,63.5,19.9,22594,37181
Calcasieu Parish,Louisiana,183577,192768,7.208986969,16.2,71.9,13.5,23591,43758
Caldwell Parish,Louisiana,10560,10132,9.871101461,21.9,73.5,4.4,19888,37423
Cameron Parish,Louisiana,9991,6839,17.75303407,11.6,84.5,0.3,24634,59555
Catahoula Parish,Louisiana,10920,10407,12.75987316,24.6,78.2,2.6,17166,36398
Claiborne Parish,Louisiana,16851,17195,8.269148008,26.8,73.2,3.9,16925,32292
Concordia Parish,Louisiana,20247,20822,10.34554798,30.8,70.8,5.5,15911,30062
De Soto Parish,Louisiana,25494,26656,7.952130852,20.3,76.6,7.8,20112,38007
East Baton Rouge Parish,Louisiana,412852,440171,20.40278437,18.4,61.6,29.1,26260,46179
East Carroll Parish,Louisiana,9421,7759,14.8016497,40.8,55.6,8.9,15947,24038
East Feliciana Parish,Louisiana,21360,20267,7.701090443,21.3,81.6,4.6,18376,35335
Evangeline Parish,Louisiana,35434,33984,10.35290137,22.1,69.1,6.8,17561,34057
Franklin Parish,Louisiana,21263,20767,11.28150431,29.3,72.6,4,18676,32311
Grant Parish,Louisiana,18698,22309,8.914563629,16.1,78.1,2.7,18536,40092
Iberia Parish,Louisiana,73266,73240,7.85157018,21.2,70.1,10.2,20112,41783
Iberville Parish,Louisiana,33320,33387,9.152784018,17.7,75.9,6.4,19379,42215
Jackson Parish,Louisiana,15397,16274,10.41157675,15.6,68.3,8.1,19308,40674
Jefferson Parish,Louisiana,455466,432552,11.55772716,14.2,64.7,28.9,25842,48175
Jefferson Davis Parish,Louisiana,31435,31594,7.470437425,16,76,5.1,20487,42907
Lafayette Parish,Louisiana,190503,221578,5.390259863,16.4,64.9,22.7,26791,47559
Lafourche Parish,Louisiana,89974,96318,6.500404909,15.6,77,9.1,22898,47492
La Salle Parish,Louisiana,14282,14890,8.111752854,13,84.4,5,20049,37572
Lincoln Parish,Louisiana,42509,46735,6.621311651,26.4,58.5,24.4,19665,35247
Livingston Parish,Louisiana,91814,128026,4.033594739,11.4,80.4,5.1,23372,54708
Madison Parish,Louisiana,13728,12093,12.47068552,33.6,59.1,13.8,13089,26441
Morehouse Parish,Louisiana,31021,27979,11.91704493,27.4,71.4,7.9,15713,31781
Natchitoches Parish,Louisiana,39080,39566,9.221048375,28.6,61.4,16.9,18207,30326
Orleans Parish,Louisiana,484674,343829,24.89033793,24.4,49.3,40.9,24929,37468
Ouachita Parish,Louisiana,147250,153720,7.343884986,21,63.1,17.3,21893,39823
Plaquemines Parish,Louisiana,26757,23042,17.24663658,11.6,71.4,17,23378,54730
Pointe Coupee Parish,Louisiana,22763,22802,8.406148583,20.2,79.5,3.2,21533,41177
Rapides Parish,Louisiana,126337,131613,10.43793546,18.1,67.6,14.4,21982,40658
Red River Parish,Louisiana,9622,9091,9.564734353,21.5,78.6,5,20044,34723
Richland Parish,Louisiana,20981,20725,10.47797346,20.3,68.1,7,18060,37682
Sabine Parish,Louisiana,23459,24233,9.288408369,20.7,78,5.6,20626,35395
St. Bernard Parish,Louisiana,67229,35897,9.822129983,15,65.7,16.2,19448,39200
St. Charles Parish,Louisiana,48072,52780,5.977226222,12.5,81.6,10.2,25728,60961
